source,chunks,max_tokens,note
Documents\Fresh_Harvest_Documents\0-product-owner-onboarding\PRODUCT_OVERVIEW_FOR_PO.md,29,268,ok
Documents\Fresh_Harvest_Documents\0-product-owner-onboarding\QUICK_START_GUIDE.md,20,298,ok
Documents\Fresh_Harvest_Documents\0-product-owner-onboarding\README.md,10,236,ok
Documents\Fresh_Harvest_Documents\0-product-owner-onboarding\SPRINT_BY_SPRINT_GUIDE.md,31,234,ok
Documents\Fresh_Harvest_Documents\1-getting-started\PROJECT_OVERVIEW.md,35,234,ok
Documents\Fresh_Harvest_Documents\1-getting-started\README.md,2,267,ok
Documents\Fresh_Harvest_Documents\1-getting-started\TECH_STACK.md,56,421,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\DOCKER_COMMANDS.md,6,233,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\DOCKERFILE_EXPLAINED.md,9,215,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\github-import\epics_and_pbis.csv,29,226,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\github-import\github_import.py,22,365,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\github-import\GITHUB_IMPORT_GUIDE.md,34,344,ok
Documents\Fresh_Harvest_Documents\10-tools-and-automation\README.md,4,225,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\ADVANCED_CONCEPTS.md,38,241,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\CI_CD_INTEGRATION.md,19,270,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\CONCEPTS.md,31,279,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\FILE_REFERENCE.md,27,240,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\HELM_GUIDE.md,14,238,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\IMPLEMENTATION.md,24,283,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\LAYMAN_ANALOGY.md,17,244,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\LEARNING_PATH.md,21,285,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\LOCAL_DEPLOYMENT_GUIDE.md,51,286,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\README.md,41,271,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\SERVICE_TYPES_AND_INGRESS_EXPLAINED.md,75,254,ok
Documents\Fresh_Harvest_Documents\11-kubernetes\STORAGE_GUIDE.md,10,296,ok
Documents\Fresh_Harvest_Documents\2-learning-guide\ENGINEERING_PLAYBOOK.md,12,210,ok
Documents\Fresh_Harvest_Documents\2-learning-guide\GLOSSARY.md,4,184,ok
Documents\Fresh_Harvest_Documents\2-learning-guide\LEARNING_GUIDE.md,24,252,ok
Documents\Fresh_Harvest_Documents\2-learning-guide\LEARNING_ROADMAP.md,58,357,ok
Documents\Fresh_Harvest_Documents\2-learning-guide\README.md,6,269,ok
Documents\Fresh_Harvest_Documents\3-product-owner\AGENTIC_PRODUCT_WORKFLOW.md,3,228,ok
Documents\Fresh_Harvest_Documents\3-product-owner\DEFINITION_OF_DONE.md,6,146,ok
Documents\Fresh_Harvest_Documents\3-product-owner\DOCUMENT_CATALOG.md,6,215,ok
Documents\Fresh_Harvest_Documents\3-product-owner\ITERATION_VIEW_PM_PO.md,15,218,ok
Documents\Fresh_Harvest_Documents\3-product-owner\PRODUCT_ROADMAP_PM_PO.md,8,225,ok
Documents\Fresh_Harvest_Documents\3-product-owner\PRODUCT_STRATEGY.md,35,317,ok
Documents\Fresh_Harvest_Documents\3-product-owner\PRODUCT_VISION_AND_PRINCIPLES.md,5,190,ok
Documents\Fresh_Harvest_Documents\3-product-owner\README.md,6,258,ok
Documents\Fresh_Harvest_Documents\3-product-owner\REQUIRED_PRODUCT_DOCS_CHECKLIST.md,3,258,ok
Documents\Fresh_Harvest_Documents\3-product-owner\SWOT_ANALYSIS.md,5,187,ok
Documents\Fresh_Harvest_Documents\3-product-owner\USER_PERSONAS_AND_JTBD.md,5,205,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1.md,10,203,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1_PBI_1_1.md,13,234,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1_PBI_1_2.md,11,208,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1_PBI_1_3.md,8,195,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1_PBI_1_4.md,8,230,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\EPIC_1\EPIC_1_UX_DESIGN.md,5,281,ok
Documents\Fresh_Harvest_Documents\4-epics-and-pbis\README.md,9,357,ok
Documents\Fresh_Harvest_Documents\5-user-flows\ADD_BALANCE_FLOW.md,13,301,ok
Documents\Fresh_Harvest_Documents\5-user-flows\ADD_TO_CART_FLOW.md,16,254,ok
Documents\Fresh_Harvest_Documents\5-user-flows\CHECKOUT_ORDER_FLOW.md,18,285,ok
Documents\Fresh_Harvest_Documents\5-user-flows\LOGIN_FLOW.md,12,331,ok
Documents\Fresh_Harvest_Documents\5-user-flows\ORDER_HISTORY_FLOW.md,14,305,ok
Documents\Fresh_Harvest_Documents\5-user-flows\PROFILE_EDIT_FLOW.md,5,160,ok
Documents\Fresh_Harvest_Documents\5-user-flows\README.md,17,339,ok
Documents\Fresh_Harvest_Documents\5-user-flows\SIGNUP_FLOW.md,18,300,ok
Documents\Fresh_Harvest_Documents\6-architecture\diagrams\architecture-sequence.mmd,2,253,ok
Documents\Fresh_Harvest_Documents\6-architecture\diagrams\architecture-summary.txt,17,265,ok
Documents\Fresh_Harvest_Documents\6-architecture\diagrams\architecture-system.mmd,2,205,ok
Documents\Fresh_Harvest_Documents\6-architecture\diagrams\low-level-design.mmd,1,222,ok
Documents\Fresh_Harvest_Documents\6-architecture\diagrams\render-diagrams.ps1,2,264,ok
Documents\Fresh_Harvest_Documents\6-architecture\LOW_LEVEL_DESIGN.md,10,215,ok
Documents\Fresh_Harvest_Documents\6-architecture\PLATFORM_ARCHITECTURE.md,24,215,ok
Documents\Fresh_Harvest_Documents\6-architecture\README.md,9,202,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\01-service-level\checkout-saga.mmd,2,248,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\01-service-level\service-interactions.mmd,2,221,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\02-system-level\k8s-deployment.mmd,2,304,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\02-system-level\system-overview.mmd,3,252,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\03-ci-cd\ci-cd-pipeline.mmd,2,241,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\04-data\data-stores.mmd,2,202,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\05-observability\observability-stack.mmd,2,255,ok
Documents\Fresh_Harvest_Documents\6-architecture\roadmap-complete\README.md,2,211,ok
Documents\Fresh_Harvest_Documents\6-architecture\service-specific\AUTH_SERVICE_ARCHITECTURE.md,13,255,ok
Documents\Fresh_Harvest_Documents\6-architecture\service-specific\EF_CORE_DESIGN.md,9,196,ok
Documents\Fresh_Harvest_Documents\6-architecture\SYSTEM_ARCHITECTURE.md,4,230,ok
Documents\Fresh_Harvest_Documents\6-ci-cd\diagrams\ci-pipeline-comparison.mmd,4,272,ok
Documents\Fresh_Harvest_Documents\6-ci-cd\FIXES_APPLIED.md,18,244,ok
Documents\Fresh_Harvest_Documents\6-ci-cd\PIPELINE_EXECUTION_ORDER.md,20,280,ok
Documents\Fresh_Harvest_Documents\6-ci-cd\README.md,13,281,ok
Documents\Fresh_Harvest_Documents\6-ci-cd\SECURITY_SCANNING.md,15,272,ok
Documents\Fresh_Harvest_Documents\7-services\API_GATEWAY.md,42,253,ok
Documents\Fresh_Harvest_Documents\7-services\AUTH_SERVICE.md,50,236,ok
Documents\Fresh_Harvest_Documents\7-services\ORDER_SERVICE.md,43,268,ok
Documents\Fresh_Harvest_Documents\7-services\PAYMENT_SERVICE.md,42,273,ok
Documents\Fresh_Harvest_Documents\7-services\PRODUCT_SERVICE.md,61,310,ok
Documents\Fresh_Harvest_Documents\7-services\README.md,26,334,ok
Documents\Fresh_Harvest_Documents\7-services\USER_SERVICE.md,45,269,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\ARGOCD_GUIDE.md,26,272,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\LEARNING.md,70,277,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\LENS_GUIDE.md,27,228,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\README.md,3,219,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\TODO.md,41,263,ok
Documents\Fresh_Harvest_Documents\8-kubernetes-local-deployment\TROUBLESHOOTING.md,32,260,ok
Documents\Fresh_Harvest_Documents\8-platform\PLATFORM_GUIDE.md,3,180,ok
Documents\Fresh_Harvest_Documents\8-platform\README.md,8,185,ok
Documents\Fresh_Harvest_Documents\9-roadmap-and-tracking\ITERATION_CHECKLIST.md,38,321,ok
Documents\Fresh_Harvest_Documents\9-roadmap-and-tracking\PROJECT_ROADMAP.md,88,342,ok
Documents\Fresh_Harvest_Documents\9-roadmap-and-tracking\README.md,3,230,ok
Documents\Fresh_Harvest_Documents\Design_Pattern_Explained\Repository_Pattern\REPOSITORY_PATTERN.md,82,234,ok
Documents\Fresh_Harvest_Documents\Design_Pattern_Explained\Singleton\SINGLETON_PATTERN.md,42,284,ok
Documents\Fresh_Harvest_Documents\DOCUMENTATION_INDEX.md,36,395,ok
Documents\Fresh_Harvest_Documents\README.md,22,288,ok
Documents\Fresh_Harvest_Documents\SERVICES_REFACTORING_GUIDE.md,25,258,ok
Documents\Fresh_Harvest_Documents\START_HERE.md,13,273,ok
